Maruni chagyo,café/bakery,numazu port,green tea icecream,千本港町128-1,Senbonminatocho 128-1,,9,0,16,0,-1,-1,-1,-1,138.857448,35.083719
Köln,café/bakery,station south,kushikatsu teishoku,大手町４丁目５−14,Otemachi 4 Chome-5-14,G,8,30,16,0,-1,-1,-1,-1,138.858137,35.098737
THE BLUEWATER,western,station south,hamburger,魚町15,Uocho 15,B,11,0,22,0,-1,-1,-1,-1,138.857832,35.095154
Hanamura,western,station south,tonkatsu,大手町４丁目６−8,Otemachi 4 Chome-6-8,G,11,30,14,0,-1,-1,-1,-1,138.857872,35.098533
Izuke,japanese,station south,tendon,仲町20-2,Nakacho 20-2,AB,11,0,18,0,13,0,17,0,138.857499,35.094081
LOTUS SWEETS,café/bakery,station south,hamburger,下河原町488,Shimogawaracho 488,B,11,0,22,0,-1,-1,-1,-1,138.856846,35.09217
Vanzo,western,station south,pasta,大手町５丁目６−3,Otemachi 5 Chome-6-3,,11,30,0,0,13,30,17,30,138.857948,35.099756
porucano,western,station south,pasta,大手町５丁目４−4,Otemachi 5 Chome-4-4,C,11,0,19,0,15,0,17,0,138.858874,35.100187
Vincent Bivi numazu,western,station north,steak,大手町１丁目１ 5 1 BiVi 沼津 1F,Otemachi 1 Chome−1 5 1 BiVi 1F,,11,0,0,0,-1,-1,-1,-1,138.860892,35.104093
Numazu Burger,western,numazu port,tatenshi orb,千本港町８３−1,Senbonminatocho 83-1,,9,0,18,0,-1,-1,-1,-1,138.858204,35.083919
KIMURAYA,japanese,numazu port,tamagoyaki,千本港町115-4,Senbonminatocho 115-4,B,11,30,15,30,-1,-1,-1,-1,138.858291,35.082269
bakers dozen,western,station south,pasta,町方町9-1,Machikatamachi 9-1,A,11,0,22,0,14,0,17,30,138.857823,35.098349
a berry,café/bakery,station south,kakigoori,大手町５丁目７−5,Otemachi 5 Chome-7-5,,11,0,17,0,-1,-1,-1,-1,138.858087,35.100131
Numazu Boost,western,station south,roast pork,町方町53-2,Machikatamachi 53-2,D,18,0,3,0,-1,-1,-1,-1,138.857125,35.09701
Numazu shikai purin pactory,café/bakery,numazu port,purin,千本港町97,Senbonminatocho 97,,10,0,17,30,-1,-1,-1,-1,138.857773,35.083559
Tochuken numazu station,japanese,station south,bento,大手町１丁目１−1,Otemachi 1 Chome-1-1,,7,0,19,0,-1,-1,-1,-1,138.859756,35.102649
Nishiyo,japanese,numazu port,ajifry,千本港町１０９,Senbonminatocho 109,D,6,0,14,50,-1,-1,-1,-1,138.858556,35.083015
DAIKOKUYA,café/bakery,station south,imagawayaki,町方町71,Machikatamachi 71,C,9,30,19,0,-1,-1,-1,-1,138.856823,35.097181
RIVAGE,café/bakery,ganyudo,mikan dessert,下香貫2885-2,Shimokanuki 2885-2,,10,0,18,0,-1,-1,-1,-1,138.870851,35.075197
Hanapan,café/bakery,ganyudo,morning speacial,我入道浜町352-1,Ganyudohamacho 352-1,,7,30,17,0,-1,-1,-1,-1,138.859779,35.078046
