沼津駅ビル アントレ,百貨店,AREA1,曜,大手町1-1-1,Otemachi 1 chome-1-1 Numazu station,,9,0,20,0,-1,-1,-1,-1,138.860469,35.102647
マルカ,農産物直売所,UCHIURA,千歌,内浦重須305-8,Uchiuraomos 305-8,,8,0,16,0,-1,-1,-1,-1,138.886972,35.017401
TONY'S HONOLULU,ハワイアン食堂,AREA2,善子,千本港町128-3,Senbonminatocho 128-3,,11,0,22,0,-1,-1,-1,-1,138.856547,35.081263
沼津アーケード名店街,商店街,AREA1,ルビィ,町方町111,Machikatamachi 111,FG,9,0,18,0,-1,-1,-1,-1,138.856968,35.098336
布澤呉服店,呉服店,AREA1,梨子,上土町100-1,Agetsuchicho 100-1,C,10,0,18,0,-1,-1,-1,-1,138.858196,35.096733
大黒屋,駄菓子屋,AREA1,花丸,町方町71,Machikatamachi 71,C,9,30,19,0,-1,-1,-1,-1,138.856817,35.097148
マルキュウ魚健,和食店,AREA2,曜,千本港町124,Senbonminatocho 124,B,9,0,15,0,-1,-1,-1,-1,138.85768,35.08218
阿見屋パーキング,パーキング屋,AREA1,千歌,上土町1-1 ,Agetsuchicho 1-1 ,ABCDEFG,-1,-1,-1,-1,-1,-1,-1,-1,138.858597,35.097735
ファミリーマート沼津下香貫店,コンビニ,AREA3,果南,下香貫2973-6,Shimokanuki 2973-6,,0,0,24,0,-1,-1,-1,-1,138.872502,35.076685
食堂・ひもの販売　あじや,和食定食店,AREA2,鞠莉,千本港町128-1,Senbonminatocho 128-1,B,9,0,16,0,-1,-1,-1,-1,138.857449,35.083749
ふみ野,和食定食店,AREA2,ダイヤ,千本港町109 ダイレイビル1F,Senbonminatocho 109 1F,B,6,0,15,0,-1,-1,-1,-1,138.858395,35.083165
とさわや,旅館,UCHIURA,善子,内浦三津88-15,Uchiuramito 88-15,B,11,0,17,0,-1,-1,-1,-1,138.898334,35.022896
ＯＨ！ＭＯＳ(農業組合法人おもす),農産物直売所,UCHIURA,花丸,内浦重須14-10,Uchiuraomos 14-10,,8,30,17,0,-1,-1,-1,-1,138.888231,35.017382
海のステージ,洋食店,NISHIURA,曜,西浦木負768-9,Nishiurakishou 768-9,D,10,0,18,0,-1,-1,-1,-1,138.879749,35.019404
辻宗商店,商店,UCHIURA,花丸,内浦三津538,Uchiuramito 538,B,8,0,18,0,-1,-1,-1,-1,138.898443,35.025467
赤から　沼津店,퓨전음식 체인점,AREA5,ルビィ,米山町1-5,Yoneyamacho 1-5,,11,0,1,0,-1,-1,-1,-1,138.862137,35.104957
