마루카,농산물 판매점,UCHIURA,치카,内浦重須305-8,Uchiuraomos 305-8,,8,0,16,0,-1,-1,-1,-1,138.886972,35.017401
TONNY'S HONOLULU,하와이 음식점,AREA2,요시코,千本港町128-3,Senbonminatocho 128-3,,11,0,22,0,-1,-1,-1,-1,138.856547,35.081263
누마즈 아케이드 명점가,상점가,AREA1,루비,町方町111,Machikatamachi 111,FG,9,0,18,0,-1,-1,-1,-1,138.856968,35.098336
누노사와 포목점,전통의류점,AREA1,리코,上土町100-1,Agetsuchicho 100-1,C,10,0,18,0,-1,-1,-1,-1,138.858196,35.096733
다이코쿠야,막과자가게,AREA1,하나마루,町方町71,Machikatamachi 71,C,9,30,19,0,-1,-1,-1,-1,138.856817,35.097148
마루큐 우오켄,일식점,AREA2,요우,千本港町124,Senbonminatocho 124,B,9,0,15,0,-1,-1,-1,-1,138.85768,35.08218
아미야파킹,주차장,AREA1,치카,上土町1-1 ,Agetsuchicho 1-1 ,ABCDEFG,-1,-1,-1,-1,-1,-1,-1,-1,138.858597,35.097735
훼미리마트 시모카누키점,편의점,AREA3,카난,下香貫2973-6,Shimokanuki 2973-6,,0,0,24,0,-1,-1,-1,-1,138.872502,35.076685
아지야,일식 정식점,AREA2,마리,千本港町128-1,Senbonminatocho 128-1,B,9,0,16,0,-1,-1,-1,-1,138.857449,35.083749
후미노,일식 정식점,AREA2,다이아,千本港町109 ダイレイビル1F,Senbonminatocho 109 1F,B,6,0,15,0,-1,-1,-1,-1,138.858395,35.083165
토사와야,여관,UCHIURA,요시코,内浦三津88-15,Uchiuramito 88-15,B,11,0,17,0,-1,-1,-1,-1,138.898334,35.022896
OH! MOS,농산물 판매점,UCHIURA,하나마루,内浦重須14-10,Uchiuraomos 14-10,,8,30,17,0,-1,-1,-1,-1,138.888231,35.017382
바다의 스테이지,경양식점,NISHIURA,요우,西浦木負768-9,Nishiurakishou 768-9,D,10,0,18,0,-1,-1,-1,-1,138.879749,35.019404
